,Total Volume,month,region,year
0,1508067.0,Dec,Atlanta,2015.0
1,2553771.0,Dec,BaltimoreWashington,2015.0
2,2012020.0,Dec,Boston,2015.0
3,21159180.0,Dec,California,2015.0
4,2779016.0,Dec,Chicago,2015.0
5,4028854.0,Dec,DallasFtWorth,2015.0
6,2850860.0,Dec,Denver,2015.0
7,10941433.0,Dec,GreatLakes,2015.0
8,3894855.0,Dec,Houston,2015.0
9,10416018.0,Dec,LosAngeles,2015.0
10,1770568.0,Dec,MiamiFtLauderdale,2015.0
11,8720889.0,Dec,Midsouth,2015.0
12,4681537.0,Dec,NewYork,2015.0
13,13554949.0,Dec,Northeast,2015.0
14,4274751.0,Dec,PhoenixTucson,2015.0
15,5272739.0,Dec,Plains,2015.0
16,2139308.0,Dec,Portland,2015.0
17,1506902.0,Dec,Sacramento,2015.0
18,1926748.0,Dec,SanDiego,2015.0
19,2696940.0,Dec,SanFrancisco,2015.0
20,2150121.0,Dec,Seattle,2015.0
21,19424953.0,Dec,SouthCentral,2015.0
22,10582035.0,Dec,Southeast,2015.0
23,111443041.0,Dec,TotalUS,2015.0
24,21786860.0,Dec,West,2015.0
25,2716810.0,Dec,WestTexNewMexico,2015.0
26,1806559.0,Nov,Atlanta,2015.0
27,3453340.0,Nov,BaltimoreWashington,2015.0
28,2563906.0,Nov,Boston,2015.0
29,26589985.0,Nov,California,2015.0
30,3637170.0,Nov,Chicago,2015.0
31,4912484.0,Nov,DallasFtWorth,2015.0
32,3790982.0,Nov,Denver,2015.0
33,14060531.0,Nov,GreatLakes,2015.0
34,4731609.0,Nov,Houston,2015.0
35,12730670.0,Nov,LosAngeles,2015.0
36,2240315.0,Nov,MiamiFtLauderdale,2015.0
37,11360650.0,Nov,Midsouth,2015.0
38,7118530.0,Nov,NewYork,2015.0
39,18426450.0,Nov,Northeast,2015.0
40,1664832.0,Nov,NorthernNewEngland,2015.0
41,1911273.0,Nov,Philadelphia,2015.0
42,4519820.0,Nov,PhoenixTucson,2015.0
43,6461220.0,Nov,Plains,2015.0
44,2309206.0,Nov,Portland,2015.0
45,2032169.0,Nov,Sacramento,2015.0
46,2274544.0,Nov,SanDiego,2015.0
47,3686864.0,Nov,SanFrancisco,2015.0
48,2566595.0,Nov,Seattle,2015.0
49,23468190.0,Nov,SouthCentral,2015.0
50,13091804.0,Nov,Southeast,2015.0
51,1507945.0,Nov,Tampa,2015.0
52,138719625.0,Nov,TotalUS,2015.0
53,25260791.0,Nov,West,2015.0
54,3154285.0,Nov,WestTexNewMexico,2015.0
55,1585945.0,Oct,Atlanta,2015.0
56,3013250.0,Oct,BaltimoreWashington,2015.0
57,2313073.0,Oct,Boston,2015.0
58,19928057.0,Oct,California,2015.0
59,2844426.0,Oct,Chicago,2015.0
60,4254328.0,Oct,DallasFtWorth,2015.0
61,3104847.0,Oct,Denver,2015.0
62,11764532.0,Oct,GreatLakes,2015.0
63,3880562.0,Oct,Houston,2015.0
64,10004633.0,Oct,LosAngeles,2015.0
65,1755508.0,Oct,MiamiFtLauderdale,2015.0
66,9762092.0,Oct,Midsouth,2015.0
67,5403265.0,Oct,NewYork,2015.0
68,15282879.0,Oct,Northeast,2015.0
69,1670329.0,Oct,Philadelphia,2015.0
70,3412905.0,Oct,PhoenixTucson,2015.0
71,5771783.0,Oct,Plains,2015.0
72,2093483.0,Oct,Portland,2015.0
73,1785280.0,Oct,SanDiego,2015.0
74,2536071.0,Oct,SanFrancisco,2015.0
75,2268068.0,Oct,Seattle,2015.0
76,20282545.0,Oct,SouthCentral,2015.0
77,11049822.0,Oct,Southeast,2015.0
78,115231050.0,Oct,TotalUS,2015.0
79,21389335.0,Oct,West,2015.0
80,2634429.0,Oct,WestTexNewMexico,2015.0
81,1799848.0,Sep,Atlanta,2015.0
82,3199022.0,Sep,BaltimoreWashington,2015.0
83,2296679.0,Sep,Boston,2015.0
84,21248673.0,Sep,California,2015.0
85,3140811.0,Sep,Chicago,2015.0
86,4752506.0,Sep,DallasFtWorth,2015.0
87,3031726.0,Sep,Denver,2015.0
88,13236934.0,Sep,GreatLakes,2015.0
89,4169882.0,Sep,Houston,2015.0
90,10767641.0,Sep,LosAngeles,2015.0
91,1851905.0,Sep,MiamiFtLauderdale,2015.0
92,10910229.0,Sep,Midsouth,2015.0
93,5282471.0,Sep,NewYork,2015.0
94,15570395.0,Sep,Northeast,2015.0
95,1672221.0,Sep,NorthernNewEngland,2015.0
96,1602110.0,Sep,Philadelphia,2015.0
97,4077873.0,Sep,PhoenixTucson,2015.0
98,6289570.0,Sep,Plains,2015.0
99,2124203.0,Sep,Portland,2015.0
100,1579561.0,Sep,Sacramento,2015.0
101,1946347.0,Sep,SanDiego,2015.0
102,2538158.0,Sep,SanFrancisco,2015.0
103,2194080.0,Sep,Seattle,2015.0
104,22201838.0,Sep,SouthCentral,2015.0
105,12153432.0,Sep,Southeast,2015.0
106,124257822.0,Sep,TotalUS,2015.0
107,22646749.0,Sep,West,2015.0
108,3111713.0,Sep,WestTexNewMexico,2015.0
109,2174571.0,Aug,Atlanta,2015.0
110,4083070.0,Aug,BaltimoreWashington,2015.0
111,2959164.0,Aug,Boston,2015.0
112,28580804.0,Aug,California,2015.0
113,3982957.0,Aug,Chicago,2015.0
114,5610989.0,Aug,DallasFtWorth,2015.0
115,3526978.0,Aug,Denver,2015.0
116,1845642.0,Aug,Detroit,2015.0
117,16745993.0,Aug,GreatLakes,2015.0
118,1637412.0,Aug,HartfordSpringfield,2015.0
119,4770678.0,Aug,Houston,2015.0
120,1527953.0,Aug,LasVegas,2015.0
121,14905807.0,Aug,LosAngeles,2015.0
122,2128504.0,Aug,MiamiFtLauderdale,2015.0
123,13951305.0,Aug,Midsouth,2015.0
124,7366832.0,Aug,NewYork,2015.0
125,21397537.0,Aug,Northeast,2015.0
126,2207334.0,Aug,NorthernNewEngland,2015.0
127,2085034.0,Aug,Philadelphia,2015.0
128,4995785.0,Aug,PhoenixTucson,2015.0
129,8305417.0,Aug,Plains,2015.0
130,2522282.0,Aug,Portland,2015.0
131,2041120.0,Aug,Sacramento,2015.0
132,2643994.0,Aug,SanDiego,2015.0
133,3202480.0,Aug,SanFrancisco,2015.0
134,2724356.0,Aug,Seattle,2015.0
135,1596619.0,Aug,SouthCarolina,2015.0
136,26689239.0,Aug,SouthCentral,2015.0
137,14536682.0,Aug,Southeast,2015.0
138,1517962.0,Aug,Tampa,2015.0
139,158191823.0,Aug,TotalUS,2015.0
140,27984844.0,Aug,West,2015.0
141,4040653.0,Aug,WestTexNewMexico,2015.0
142,1991478.0,Jul,Atlanta,2015.0
143,3358908.0,Jul,BaltimoreWashington,2015.0
144,2327482.0,Jul,Boston,2015.0
145,23404583.0,Jul,California,2015.0
146,3382287.0,Jul,Chicago,2015.0
147,4892327.0,Jul,DallasFtWorth,2015.0
148,3151813.0,Jul,Denver,2015.0
149,13767110.0,Jul,GreatLakes,2015.0
150,4401597.0,Jul,Houston,2015.0
151,11778010.0,Jul,LosAngeles,2015.0
152,2132536.0,Jul,MiamiFtLauderdale,2015.0
153,11664799.0,Jul,Midsouth,2015.0
154,5515607.0,Jul,NewYork,2015.0
155,17415363.0,Jul,Northeast,2015.0
156,2077921.0,Jul,NorthernNewEngland,2015.0
157,1589583.0,Jul,Philadelphia,2015.0
158,4336398.0,Jul,PhoenixTucson,2015.0
159,7474430.0,Jul,Plains,2015.0
160,2152560.0,Jul,Portland,2015.0
161,1804035.0,Jul,Sacramento,2015.0
162,2081471.0,Jul,SanDiego,2015.0
163,2776162.0,Jul,SanFrancisco,2015.0
164,2240010.0,Jul,Seattle,2015.0
165,23693376.0,Jul,SouthCentral,2015.0
166,13732685.0,Jul,Southeast,2015.0
167,135088853.0,Jul,TotalUS,2015.0
168,23936506.0,Jul,West,2015.0
169,3284604.0,Jul,WestTexNewMexico,2015.0
170,2026686.0,Jun,Atlanta,2015.0
171,3524850.0,Jun,BaltimoreWashington,2015.0
172,2363180.0,Jun,Boston,2015.0
173,25175395.0,Jun,California,2015.0
174,3356591.0,Jun,Chicago,2015.0
175,5292012.0,Jun,DallasFtWorth,2015.0
176,3080883.0,Jun,Denver,2015.0
177,1616108.0,Jun,Detroit,2015.0
178,14477172.0,Jun,GreatLakes,2015.0
179,5080823.0,Jun,Houston,2015.0
180,13092335.0,Jun,LosAngeles,2015.0
181,2242308.0,Jun,MiamiFtLauderdale,2015.0
182,12201393.0,Jun,Midsouth,2015.0
183,6117156.0,Jun,NewYork,2015.0
184,18121592.0,Jun,Northeast,2015.0
185,1876897.0,Jun,NorthernNewEngland,2015.0
186,1754220.0,Jun,Philadelphia,2015.0
187,5162830.0,Jun,PhoenixTucson,2015.0
188,7883558.0,Jun,Plains,2015.0
189,2378966.0,Jun,Portland,2015.0
190,1752457.0,Jun,Sacramento,2015.0
191,2373825.0,Jun,SanDiego,2015.0
192,2865966.0,Jun,SanFrancisco,2015.0
193,2333893.0,Jun,Seattle,2015.0
194,25905139.0,Jun,SouthCentral,2015.0
195,14183440.0,Jun,Southeast,2015.0
196,144304087.0,Jun,TotalUS,2015.0
197,26356396.0,Jun,West,2015.0
198,4029475.0,Jun,WestTexNewMexico,2015.0
199,2667918.0,May,Atlanta,2015.0
200,4483919.0,May,BaltimoreWashington,2015.0
201,2930761.0,May,Boston,2015.0
202,33034580.0,May,California,2015.0
203,4441443.0,May,Chicago,2015.0
204,6413475.0,May,DallasFtWorth,2015.0
205,3668814.0,May,Denver,2015.0
206,1979903.0,May,Detroit,2015.0
207,18438433.0,May,GreatLakes,2015.0
208,1714786.0,May,HartfordSpringfield,2015.0
209,5928786.0,May,Houston,2015.0
210,1647486.0,May,LasVegas,2015.0
211,16400578.0,May,LosAngeles,2015.0
212,2993525.0,May,MiamiFtLauderdale,2015.0
213,15880166.0,May,Midsouth,2015.0
214,8161470.0,May,NewYork,2015.0
215,23513964.0,May,Northeast,2015.0
216,2333952.0,May,NorthernNewEngland,2015.0
217,1668106.0,May,Orlando,2015.0
218,2379451.0,May,Philadelphia,2015.0
219,5967457.0,May,PhoenixTucson,2015.0
220,10438708.0,May,Plains,2015.0
221,3161393.0,May,Portland,2015.0
222,2407616.0,May,Sacramento,2015.0
223,2895409.0,May,SanDiego,2015.0
224,4366759.0,May,SanFrancisco,2015.0
225,3115312.0,May,Seattle,2015.0
226,1884121.0,May,SouthCarolina,2015.0
227,31314365.0,May,SouthCentral,2015.0
228,18221446.0,May,Southeast,2015.0
229,1866274.0,May,Tampa,2015.0
230,182752153.0,May,TotalUS,2015.0
231,31910488.0,May,West,2015.0
232,4801198.0,May,WestTexNewMexico,2015.0
233,1737202.0,Apr,Atlanta,2015.0
234,3096270.0,Apr,BaltimoreWashington,2015.0
235,1841870.0,Apr,Boston,2015.0
236,22390827.0,Apr,California,2015.0
237,3243760.0,Apr,Chicago,2015.0
238,4876449.0,Apr,DallasFtWorth,2015.0
239,3129462.0,Apr,Denver,2015.0
240,13336061.0,Apr,GreatLakes,2015.0
241,4410965.0,Apr,Houston,2015.0
242,10836845.0,Apr,LosAngeles,2015.0
243,2126441.0,Apr,MiamiFtLauderdale,2015.0
244,11071592.0,Apr,Midsouth,2015.0
245,5037854.0,Apr,NewYork,2015.0
246,14339385.0,Apr,Northeast,2015.0
247,5040995.0,Apr,PhoenixTucson,2015.0
248,7544485.0,Apr,Plains,2015.0
249,2208277.0,Apr,Portland,2015.0
250,1605500.0,Apr,Sacramento,2015.0
251,1952019.0,Apr,SanDiego,2015.0
252,3087772.0,Apr,SanFrancisco,2015.0
253,2090667.0,Apr,Seattle,2015.0
254,23748715.0,Apr,SouthCentral,2015.0
255,12917944.0,Apr,Southeast,2015.0
256,130552492.0,Apr,TotalUS,2015.0
257,25203480.0,Apr,West,2015.0
258,3687947.0,Apr,WestTexNewMexico,2015.0
259,2236038.0,Mar,Atlanta,2015.0
260,3673052.0,Mar,BaltimoreWashington,2015.0
261,2231136.0,Mar,Boston,2015.0
262,29837948.0,Mar,California,2015.0
263,4095628.0,Mar,Chicago,2015.0
264,6132194.0,Mar,DallasFtWorth,2015.0
265,3517609.0,Mar,Denver,2015.0
266,1728060.0,Mar,Detroit,2015.0
267,16689795.0,Mar,GreatLakes,2015.0
268,5407996.0,Mar,Houston,2015.0
269,1548140.0,Mar,LasVegas,2015.0
270,13827450.0,Mar,LosAngeles,2015.0
271,2399742.0,Mar,MiamiFtLauderdale,2015.0
272,12917919.0,Mar,Midsouth,2015.0
273,6031017.0,Mar,NewYork,2015.0
274,17435808.0,Mar,Northeast,2015.0
275,1674103.0,Mar,NorthernNewEngland,2015.0
276,1883814.0,Mar,Philadelphia,2015.0
277,5786423.0,Mar,PhoenixTucson,2015.0
278,8224230.0,Mar,Plains,2015.0
279,2477870.0,Mar,Portland,2015.0
280,2146573.0,Mar,Sacramento,2015.0
281,2566217.0,Mar,SanDiego,2015.0
282,4374888.0,Mar,SanFrancisco,2015.0
283,2680097.0,Mar,Seattle,2015.0
284,1598991.0,Mar,SouthCarolina,2015.0
285,28939747.0,Mar,SouthCentral,2015.0
286,15506342.0,Mar,Southeast,2015.0
287,1597988.0,Mar,Tampa,2015.0
288,158757311.0,Mar,TotalUS,2015.0
289,29205519.0,Mar,West,2015.0
290,4058369.0,Mar,WestTexNewMexico,2015.0
291,1969062.0,Feb,Atlanta,2015.0
292,3322598.0,Feb,BaltimoreWashington,2015.0
293,1866963.0,Feb,Boston,2015.0
294,27136965.0,Feb,California,2015.0
295,3407409.0,Feb,Chicago,2015.0
296,4784750.0,Feb,DallasFtWorth,2015.0
297,3379946.0,Feb,Denver,2015.0
298,13307409.0,Feb,GreatLakes,2015.0
299,4545007.0,Feb,Houston,2015.0
300,12737718.0,Feb,LosAngeles,2015.0
301,1831916.0,Feb,MiamiFtLauderdale,2015.0
302,11823925.0,Feb,Midsouth,2015.0
303,5267939.0,Feb,NewYork,2015.0
304,15026037.0,Feb,Northeast,2015.0
305,1749677.0,Feb,Philadelphia,2015.0
306,5065681.0,Feb,PhoenixTucson,2015.0
307,7568540.0,Feb,Plains,2015.0
308,2234583.0,Feb,Portland,2015.0
309,2028695.0,Feb,Sacramento,2015.0
310,2201152.0,Feb,SanDiego,2015.0
311,3901284.0,Feb,SanFrancisco,2015.0
312,2493971.0,Feb,Seattle,2015.0
313,23536576.0,Feb,SouthCentral,2015.0
314,13007774.0,Feb,Southeast,2015.0
315,137503440.0,Feb,TotalUS,2015.0
316,26096211.0,Feb,West,2015.0
317,3185019.0,Feb,WestTexNewMexico,2015.0
318,1728319.0,Jan,Atlanta,2015.0
319,2883524.0,Jan,BaltimoreWashington,2015.0
320,1748752.0,Jan,Boston,2015.0
321,22920432.0,Jan,California,2015.0
322,3183213.0,Jan,Chicago,2015.0
323,4360934.0,Jan,DallasFtWorth,2015.0
324,2956418.0,Jan,Denver,2015.0
325,12622567.0,Jan,GreatLakes,2015.0
326,4164705.0,Jan,Houston,2015.0
327,10722981.0,Jan,LosAngeles,2015.0
328,1693236.0,Jan,MiamiFtLauderdale,2015.0
329,9956951.0,Jan,Midsouth,2015.0
330,4623953.0,Jan,NewYork,2015.0
331,13294621.0,Jan,Northeast,2015.0
332,4535360.0,Jan,PhoenixTucson,2015.0
333,6404105.0,Jan,Plains,2015.0
334,2141317.0,Jan,Portland,2015.0
335,1650458.0,Jan,Sacramento,2015.0
336,1938714.0,Jan,SanDiego,2015.0
337,3412453.0,Jan,SanFrancisco,2015.0
338,2199923.0,Jan,Seattle,2015.0
339,21249906.0,Jan,SouthCentral,2015.0
340,11111798.0,Jan,Southeast,2015.0
341,120453518.0,Jan,TotalUS,2015.0
342,22893134.0,Jan,West,2015.0
343,2819489.0,Jan,WestTexNewMexico,2015.0
344,1902233.0,Dec,Atlanta,2016.0
345,2469401.0,Dec,BaltimoreWashington,2016.0
346,2062392.0,Dec,Boston,2016.0
347,21427876.0,Dec,California,2016.0
348,2770274.0,Dec,Chicago,2016.0
349,4797503.0,Dec,DallasFtWorth,2016.0
350,3209128.0,Dec,Denver,2016.0
